chr1	0	27600000	1p36		607413	AD7CNTP	Alzheimer_disease_neuronal_thread_protein						
chr1	0	27600000	1p36		612367	ALPQTL2	Alkaline_phosphatase,_plasma_level_of,_QTL_2		100196914		linkage_with_rs1780324	{Alkaline_phosphatase,_plasma_level_of,_QTL_2},_612367_(2)	
chr1	0	123400000	1p		606788	ANON1	Anorexia_nervosa,_susceptibility_to,_1		171514			{Anorexia_nervosa,_susceptibility_to,_1},_606788_(2)	
chr1	0	27600000	1p36		605462	BCC1	Basal_cell_carcinoma,_susceptibility_to,_1		100307118		associated_with_rs7538876	{Basal_cell_carcinoma,_susceptibility_to,_1},_605462_(2)	
chr1	0	27600000	1p36		606928	BMND3	Bone_mineral_density_QTL_3		246259		?another_locus_at_3p21	[Bone_mineral_density_QTL_3],_606928_(2)	
chr1	0	27600000	1p36		155600	CMM,_MLM,_DNS	Cutaneous_malignant_melanoma/dysplastic_nevus	CMM	1243		some_linkage_studies_negative,_see_9p	{Melanoma,_cutaneous_malignant,_1},_155600_(2),_Autosomal_dominant	
chr1	0	20100000	1pter-p36.13		115665	CTRCT8,_CCV	Cataract,_congenital,_Volkmann_type	CCV	7792		linked_to_Rh_in_Scottish_family	Cataract_8,_multiple_types,_115665_(2),_Autosomal_dominant	
chr1	0	27600000	1p36		607872	DEL1p36,_C1DELp36	Chromosome_1p36_deletion_syndrome				contiguous_gene_deletion_syndrome	Chromosome_1p36_deletion_syndrome,_607872_(4),_Isolated_cases	
chr1	0	46300000	1p36-p34		608995	DYX8	Dyslexia,_susceptibility_to,_8	DYX8	406874		between_D1S552_and_D1S1622	{Dyslexia,_susceptibility_to,_8},_608995_(2),_Autosomal_dominant,_Multifactorial	
chr1	0	27600000	1pter-p36		131190	ERPL1,_HLM2	Endogenous_retroviral_pol_gene-like_sequence_1_(oncogene_HLM2)						
chr1	0	27600000	1p36		605225	IBD7	Inflammatory_bowel_disease_7	IBD7	57042		associated_with_rs6426833	{Inflammatory_bowel_disease_7},_605225_(2)	
chr1	0	27600000	1p36		612596	MS4	Multiple_sclerosis,_susceptibility_to,_4		100271696		associated_with_rs10492972	{Multiple_sclerosis,_susceptibility_to,_4},_612596_(2)	
chr1	0	27600000	1p36		610320	MYP14	Myopia_14	MYP14	100359407		between_D1S552_and_D1S1622	Myopia_14,_610320_(2)	
chr1	0	123400000	1p		605606	PSORS7	Psoriasis_susceptibility_7	PSORS7	65245			{Psoriasis_susceptibility_7},_605606_(2)	
chr1	0	7100000	1p36.3		604008	PTPRZ2	Protein-tyrosine_phosphatase,_receptor-type,_zeta-2	PTPRZ2	5804				
chr1	0	94300000	1pter-p22.1		154280	SAI1,_MTS1,_TFS1	Suppression_of_anchorage_independence-1_(malignant_transformation_suppression-1)	SAI1	6298				
chr1	0	27600000	1p36		607317	SCAR4,_SCASI	Spinocerebellar_ataxia,_autosomal_recessive_4	SCASI	260415			Spinocerebellar_ataxia,_autosomal_recessive_4,_607317_(2),_Autosomal_recessive	
chr1	925740	944580	1p36.33	1p36.33	616765	SAMD11,_MRS	Sterile_alpha_motif_domain-containing_protein_11	SAMD11	148398	ENSG00000187634			Samd11_(MGI:2446220)
chr1	944202	959298	1p36.33	1p36.33	610770	NOC2L,_NIR	Nucleolar_complex-associated_protein_2,_S._cerevisiae,_homolog_of	NOC2L	26155	ENSG00000188976			Noc2l_(MGI:1931051)
chr1	975197	982116	1p36.33	1p36.33	615921	PERM1,_C1orf170	PPARGC1-and_ESRR-induced_regulator,_muscle,_1	PERM1	84808	ENSG00000187642			
